time,value_R
55.68,24.909074477781186
55.69,24.893408047931977
55.7,24.877766276428112
55.71,24.8621491322881
55.72,24.846556584559657
55.73,24.83098860231973
55.74,24.815445154674535
55.75,24.79992621075958
55.76,24.784431739739706
55.77,24.768961710809112
55.78,24.753516093191383
55.79,24.73809485613953
55.8,24.722697968936007
55.81,24.70732540089275
55.82,24.691977121351197
55.83,24.676653099682326
55.84,24.661353305286678
55.85,24.646077707594376
55.86,24.63082627606517
55.87,24.615598980188448
55.88,24.60039578948327
55.89,24.585216673498387
55.9,24.570061601812274
55.91,24.55493054403315
55.92,24.53982346979901
55.93,24.524740348777637
55.94,24.50968115066663
55.95,24.494645845193435
55.96,24.47963440211536
55.97,24.464646791219597
55.98,24.44968298232325
55.99,24.434742945273353
56.0,24.419826649946895
56.01,24.40493406625083
56.02,24.390065164122117
56.03,24.37521991352772
56.04,24.360398284464637
56.05,24.34560024695993
56.06,24.330825771070717
56.07,24.316074826884226
56.08,24.301347384517783
56.09,24.286643414118842
56.1,24.271962885865012
56.11,24.257305769964056
56.12,24.24267203665392
56.13,24.228061656202755
56.14,24.213474598908913
56.15,24.198910835100985
56.16,24.184370335137807
56.17,24.169853069408468
56.18,24.155359008332344
56.19,24.14088812235909
56.2,24.126440381968678
56.21,24.112015757671386
56.22,24.097614220007838
56.23,24.083235739548993
56.24,24.068880286896174
56.25,24.054547832681077
56.26,24.040238347565783
56.27,24.025951802242766
56.28,24.01168816743491
56.29,23.997447413895525
56.3,23.983229512408343
56.31,23.96903443378754
56.32,23.954862148877755
56.33,23.940712628554074
56.34,23.926585843722066
56.35,23.912481765317782
56.36,23.898400364307765
56.37,23.88434161168906
56.38,23.870305478489218
56.39,23.856291935766315
56.4,23.84230095460895
56.41,23.82833250613626
56.42,23.814386561497923
56.43,23.800463091874164
56.44,23.786562068475774
56.45,23.7726834625441
56.46,23.758827245351068
56.47,23.74499338819917
56.48,23.731181862421494
56.49,23.717392639381707
56.5,23.70362569047408
56.51,23.689880987123477
56.52,23.676158500785366
56.53,23.66245820294583
56.54,23.64878006512157
56.55,23.635124058859894
56.56,23.62149015573874
56.57,23.60787832736667
56.58,23.594288545382877
56.59,23.580720781457188
56.6,23.567175007290064
56.61,23.553651194612605
56.62,23.54014931518655
56.63,23.526669340804286
56.64,23.513211243288843
56.65,23.4997749944939
56.66,23.486360566303784
56.67,23.47296793063347
56.68,23.459597059428585
56.69,23.44624792466541
56.7,23.432920498350878
56.71,23.419614752522577
56.72,23.40633065924874
56.73,23.393068190628266
56.74,23.3798273187907
56.75,23.366608015896237
56.76,23.353410254135728
56.77,23.34023400573067
56.78,23.32707924293322
56.79,23.313945938026166
56.8,23.30083406332296
56.81,23.28774359116769
56.82,23.274674493935088
56.83,23.261626744030526
56.84,23.248600313890016
56.85,23.235595175980205
56.86,23.222611302798374
56.87,23.20964866687243
56.88,23.196707240760908
56.89,23.18378699705297
56.9,23.170887908368393
56.91,23.15800994735757
56.92,23.14515308670151
56.93,23.13231729911182
56.94,23.11950255733072
56.95,23.106708834131023
56.96,23.093936102316135
56.97,23.081184334720056
56.98,23.068453504207366
56.99,23.05574358367322
57.0,23.043054546043347
57.01,23.030386364274047
57.02,23.01773901135218
57.03,23.00511246029516
57.04,22.992506684150943
57.05,22.979921655998037
57.06,22.967357348945484
57.07,22.95481373613285
57.08,22.942290790730222
57.09,22.92978848593821
57.1,22.917306794987926
57.11,22.904845691140984
57.12,22.892405147689487
57.13,22.879985137956027
57.14,22.86758563529367
57.15,22.855206613085947
57.16,22.84284804474686
57.17,22.830509903720852
57.18,22.818192163482816
57.19,22.805894797538077
57.2,22.793617779422384
57.21,22.781361082701906
57.22,22.769124680973217
57.23,22.756908547863286
57.24,22.744712657029478
57.25,22.73253698215953
57.26,22.72038149697155
57.27,22.708246175214008
57.28,22.696130990665715
57.29,22.68403591713583
57.3,22.671960928463832
57.31,22.659905998519523
57.32,22.647871101203005
57.33,22.635856210444683
57.34,22.623861300205245
57.35,22.61188634447565
57.36,22.59993131727712
57.37,22.587996192661137
57.38,22.576080944709407
57.39,22.564185547533874
57.4,22.552309975276696
57.41,22.540454202110237
57.42,22.52861820223705
57.43,22.516801949889864
57.44,22.505005419331585
57.45,22.493228584855267
57.46,22.481471420784107
57.47,22.469733901471436
57.48,22.4580160013007
57.49,22.446317694685444
57.5,22.43463895606931
57.51,22.422979759926015
57.52,22.411340080759338
57.53,22.39971989310311
57.54,22.388119171521204
57.55,22.37653789060751
57.56,22.364976024985925
57.57,22.353433549310353
57.58,22.34191043826467
57.59,22.33040666656272
57.6,22.318922208948305
57.61,22.30745704019516
57.62,22.29601113510695
57.63,22.28458446851725
57.64,22.27317701528952
57.65,22.26178875031711
57.66,22.25041964852323
57.67,22.239069684860944
57.68,22.227738834313143
57.69,22.21642707189255
57.7,22.20513437264168
57.71,22.193860711632844
57.72,22.18260606396812
57.73,22.17137040477935
57.74,22.160153709228116
57.75,22.148955952505723
57.76,22.137777109833188
57.77,22.12661715646122
57.78,22.115476067670205
57.79,22.104353818770193
57.8,22.093250385100877
57.81,22.08216574203158
57.82,22.071099864961234
57.83,22.060052729318368
57.84,22.04902431056109
57.85,22.038014584177066
57.86,22.02702352568351
57.87,22.016051110627163
57.88,22.005097314584276
57.89,21.99416211316059
57.9,21.983245481991332
57.91,21.972347396741174
57.92,21.961467833104237
57.93,21.950606766804064
57.94,21.939764173593606
57.95,21.928940029255198
57.96,21.91813430960055
57.97,21.907346990470717
57.98,21.8965780477361
57.99,21.885827457296404
58.0,21.87509519508064
58.01,21.864381237047095
58.02,21.85368555918332
58.03,21.84300813750611
58.04,21.832348948061483
58.05,21.821707966924667
58.06,21.81108517020007
58.07,21.80048053402128
58.08,21.789894034551022
58.09,21.779325647981167
58.1,21.76877535053269
58.11,21.758243118455656
58.12,21.747728928029215
58.13,21.737232755561564
58.14,21.72675457738994
58.15,21.716294369880597
58.16,21.705852109428786
58.17,21.695427772458736
58.18,21.685021335423635
58.19,21.67463277480561
58.2,21.664262067115704
58.21,21.65390918889387
58.22,21.64357411670893
58.23,21.633256827158576
58.24,21.62295729686933
58.25,21.612675502496547
58.26,21.602411420724373
58.27,21.592165028265736
58.28,21.581936301862328
58.29,21.57172521828458
58.3,21.56153175433164
58.31,21.55135588683136
58.32,21.54119759264027
58.33,21.531056848643555
58.34,21.520933631755046
58.35,21.510827918917187
58.36,21.500739687101017
58.37,21.49066891330616
58.38,21.480615574560787
58.39,21.47057964792161
58.4,21.460561110473854
58.41,21.450559939331235
58.42,21.440576111635945
58.43,21.430609604558622
58.44,21.420660395298345
58.45,21.410728461082595
58.46,21.40081377916724
58.47,21.39091632683652
58.48,21.381036081403018
58.49,21.371173020207642
58.5,21.361327120619606
58.51,21.351498360036402
58.52,21.341686715883785
58.53,21.33189216561575
58.54,21.322114686714507
58.55,21.312354256690462
58.56,21.302610853082196
58.57,21.292884453456445
58.58,21.283175035408075
58.59,21.273482576560056
58.6,21.263807054563454
58.61,21.254148447097393
58.62,21.24450673186904
58.63,21.234881886613596
58.64,21.225273889094247
58.65,21.215682717102165
58.66,21.206108348456475
58.67,21.196550761004236
58.68,21.18700993262042
58.69,21.177485841207886
58.7,21.16797846469736
58.71,21.158487781047416
58.72,21.149013768244448
58.73,21.139556404302645
58.74,21.130115667263986
58.75,21.120691535198194
58.76,21.111283986202732
58.77,21.10189299840277
58.78,21.09251854995117
58.79,21.08316061902845
58.8,21.073819183842783
58.81,21.064494222629953
58.82,21.055185713653344
58.83,21.045893635203917
58.84,21.036617965600183
58.85,21.027358683188183
58.86,21.018115766341467
58.87,21.008889193461062
58.88,20.999678942975464
58.89,20.9904849933406
58.9,20.98130732303982
58.91,20.97214591058386
58.92,20.96300073451082
58.93,20.95387177338616
58.94,20.944759005802656
58.95,20.93566241038038
58.96,20.926581965766687
58.97,20.91751765063618
58.98,20.908469443690706
58.99,20.8994373236593
59.0,20.890421269298194
59.01,20.88142125939078
59.02,20.872437272747586
59.03,20.863469288206254
59.04,20.85451728463152
59.05,20.845581240915184
59.06,20.836661135976094
59.07,20.827756948760115
59.08,20.818868658240117
59.09,20.809996243415938
59.1,20.801139683314368
59.11,20.792298956989125
59.12,20.783474043520833
59.13,20.774664922016992
59.14,20.765871571611964
59.15,20.757093971466944
59.16,20.74833210076993
59.17,20.73958593873571
59.18,20.730855464605845
59.19,20.722140657648616
59.2,20.71344149715903
59.21,20.70475796245879
59.22,20.696090032896254
59.23,20.687437687846437
59.24,20.678800906710965
59.25,20.670179668918063
59.26,20.661573953922534
