first_checkpoint_271.0,second_checkpoint_283.0,end_evolution_300.0
116931.5979678024,116931.58700095098,116931.57297930183
136472.92828791443,136472.75735656114,136472.53879136365
84637.4585921252,84637.43740925592,84637.41032708035
,,
57265.74999972625,57265.708716743335,57265.65593645543
,,
,,
76951.03654519623,76951.00731523237,76950.96994425269
67931.75966774729,67931.74439231704,67931.72486220764
95785.70229707572,95785.63706215656,95785.55366251669
,,
53449.001337771486,53448.92290043594,53448.82262512876
49988.26037960976,49988.25095433615,49988.23890375927
,,
72949.188190954,72949.16916366157,72949.14483727804
72341.11921467155,72341.10060632942,72341.07681487275
102314.28608075374,102314.2745515976,102314.2598108982
47968.47891635638,47968.47165765778,47968.46237695643
,,
29996.422249770578,29996.16461801017,29995.835225855433
80112.0079065584,80111.99420780799,80111.97669334576
,,
74727.80265025655,74727.78372075138,74727.75951913527
68815.91332431602,68815.897882488,68815.87813986703
,,
50590.36488708377,50590.356466743615,50590.345700830876
,,
69749.21301120805,69749.16893125283,69749.1125773973
