D=1.0 (mm^2/w),D=1.5 (mm^2/w),D=2.0 (mm^2/w)
10964.323853547188,16966.83919580386,3645.8640372401082
10795.386635277226,16747.812069286225,3644.321845903421
10629.211781106496,16530.050382574576,3642.6448727991424
10465.758212750508,16313.619783111144,3640.832772002898
10304.98520036072,16098.582190727944,3638.885218375706
10146.852374586551,15884.995906301614,3636.801907830697
9991.31973758699,15672.915720408737,3634.582557593902
9838.347673048434,15462.393021709424,3632.2269064589345
9687.896955262751,15253.4759048107,3629.734715035396
9539.928757316704,15046.209277383849,3627.1057659908347
9394.40465844158,14840.634966331198,3624.3398642860907
9251.286650569356,14636.791822817928,3621.4368374038663
9110.537144139476,14434.715826003485,3618.3965355703576
8972.118973198183,14234.440185324933,3615.2188319697925
8835.995399830274,14035.99544120131,3611.903622951723
8702.13011796111,13839.40956404362,3608.4508282309157
8570.487256564975,13644.70805146969,3604.8603910797033
8441.031382313975,13451.914023636724,3601.1322785126445
8313.727501700037,13261.048316616932,3597.26648146336
8188.54106266093,13072.129573753422,3593.263014953407
8065.437955739701,12885.174334944297,3589.121918253063
7944.384514805462,12700.197123812974,3584.8432550338903
7825.347517362056,12517.210532731968,3580.42711351296
7708.294184469814,12336.225305675798,3575.8736065886214
7593.192180304355,12157.250418886591,3571.182871967695
7480.00961137518,11980.293159342951,3566.3550722839905
7368.715025425659,11805.359201029223,3561.390395208038
7259.277410034948,11632.452679008216,3556.2890535479405
7151.666190941288,11461.576261305729,3551.051285341245
7045.851230105222,11292.731218620142,3545.6773539377527
6941.802823530269,11125.917491874692,3540.1675480731747
6839.491698857721,10961.133757633872,3534.5221819335634
6738.889012751396,10798.377491409025,3528.7415952104384
6639.966348087357,10637.64502888119,3522.826153146541
6542.69571096282,10478.931625072051,3516.776246572155
6447.049527537785,10322.231511496202,3510.592291931933
6353.000640722184,10167.537951330072,3504.2747313021787
6260.5223067207,10014.843292634612,3497.824032398536
6169.588191446779,9864.139019670398,3491.24068857404
6080.172366816739,9715.41580234508,3484.5252188075
5992.249306934327,9568.663543834193,3477.6781676821774
5905.793884175522,9423.871426417138,3470.700105354735
5820.78136518286,9281.027955570917,3463.5916275144386
5737.187406778068,9140.121002364524,3456.353355332594
5654.988051801325,9001.137844197465,3448.9859354022124
5574.1597248850185,8864.06520392577,3441.4900396678954
5494.679228169434,8728.889287419233,3433.86636534595
5416.523736967422,8595.595819593307,3426.1156348347313
5339.67079538469,8464.170078959032,3418.2385956152325
5264.098311902003,8334.596930734118,3410.236020141934
5189.784554925232,8206.860858557886,3402.108705723941
5116.708148308841,8080.945994852425,3393.8574743964314
5044.848066858119,7956.8361498717695,3385.483172782455
4974.1836318151045,7834.514839480376,3376.9866719451165
4904.694506332943,7713.9653117015805,3368.3688672301914
4836.360690943061,7595.170572076036,3359.630678099221
4769.162519019341,7478.113407869469,3350.773047953142
4703.08065224321,7362.77641116834,3341.796943946512
4638.096076073317,7249.142000901277,3332.703356792392
4574.190095223255,7137.192443823313,3323.4933005579583
4511.344329150577,7026.909874499223,3314.1678124509167
4449.540707560138,6918.276314321402,3304.7279525967983
4388.761465924611,6811.2736895969065,3295.174803807221
4328.989141024846,6705.883848737448,3285.5094713392045
4270.206566512549,6602.088578585304,3275.7330826456327
4212.396868497621,6499.869619907231,3265.84678711696
4155.543461162292,6399.208682087648,3255.851755814265
4099.630042404105,6300.087457051517,3245.7491811937543
4044.640589509572,6202.487632446479,3235.5402768228323
3990.559354860287,6106.390904113013,3225.226277087847
3937.370861673064,6011.778987870519,3214.8084368936316
3885.0598997756015,5918.633630646431,3204.288031354967
3833.611521419041,5826.93662097465,3193.666355480089
3783.011037128668,5736.6697988887945,3182.944723846369
3733.244011593914,5647.815065234965,3172.1244702683102
3684.2962595987065,5560.354390427974,3161.2069474579853
3636.1538419931294,5474.2698226742,3150.193526678069
3588.8030617072604,5389.5434956835,3139.085597387599
3542.2304598079468,5306.157635891883,3127.884566880624
3496.422811599266,5224.094569215912,3116.5918599178785
3451.3671227672467,5143.336727359125,3105.208918351651
3407.050625569431,5063.866653690057,3093.7372007439926
3363.4607750697514,4985.667008710801,3082.178181978434
3320.5852454191418,4908.7205751343545,3070.533352865369
