D=0.0 mm/w,D=0.1 mm/w,D=0.2 mm/w,D=0.3 mm/w,D=0.4 mm/w,D=0.5 mm/w,D=0.6 mm/w,D=0.7 mm/w,D=0.8 mm/w,D=0.9 mm/w
3339.516515484332,3339.0719095970085,3339.522409536556,3342.7336655399577,3348.0991258716444,3354.445571964174,3360.935675286496,3367.1340342394624,3372.866012138204,3378.091598019639
3323.419198148036,3322.9931290606823,3323.5093475523367,3326.7993434945424,3332.2290000125963,3338.618000825433,3345.132011095594,3351.3409431511777,3357.0747261244146,3362.296547825617
3307.3351389215136,3306.9274266130355,3307.508454488772,3310.87563103056,3316.3676774501246,3322.797493987314,3329.3338854636168,3335.5521096616985,3341.2866400932467,3346.5038262007565
3291.26648970064,3290.876956202951,3291.521895762666,3294.9647169102345,3300.517379285442,3306.986309163656,3313.5435930399467,3319.769863293737,3325.5041153151064,3330.715822796344
3275.2153299482543,3274.843799323636,3275.5517641940096,3279.0687169797984,3284.6802532029164,3291.186630008273,3297.763353686828,3303.9964580264214,3309.7294367709183,3314.934850263039
3259.183668699497,3258.829967017304,3259.600082009309,3263.189676172898,3268.858375476354,3275.4005681273507,3281.995314500856,3288.234074328138,3293.9648151977603,3299.1631463100066
3243.173446518916,3242.837401831712,3243.6688027970804,3247.329570466576,3253.053752928264,3259.630165045195,3266.241551788087,3272.4848211431736,3278.212389088387,3283.4028757179512
3227.1865374099784,3226.867979729172,3227.7598134160967,3231.490308790398,3237.268324842657,3243.8773941238287,3250.5040729932366,3256.750737832592,3262.474226645052,3267.656132306447
3211.22475067768,3210.92351194874,3211.874935857077,3215.673734889366,3221.5039648319657,3228.1441624369986,3234.7848185834905,3241.0337960698366,3246.75232768809,3251.9249408559986
3195.289832744965,3195.005746822284,3196.0159290584907,3199.881629141264,3205.762482658717,3212.4323125991864,3219.0856638874866,3225.3359016915924,3231.048625519776,3236.211258985324
3179.3834689237,3179.116371545165,3180.184490677196,3184.11571032913,3190.04562601261,3196.743624550245,3203.408420890068,3209.6588965044816,3215.364988744,3220.516978984394
3163.5072851409564,3163.257013902286,3164.3822588146613,3168.377637369582,3174.3550822436832,3181.0798172963173,3187.7548399834345,3194.004560048194,3199.7032230423515,3204.8439296037864
3147.662849621393,3147.4292439502983,3148.610813699516,3152.669010997709,3158.692480052288,3165.442550607722,3172.126611675347,3178.3746113156863,3184.065072907223,3189.1938778009658
3131.8516745265256,3131.6345756567425,3132.871679327221,3136.991375409298,3143.0593911365813,3149.833426674502,3156.525368255067,3162.770710431114,3168.452223332577,3173.5685304441085
3116.075217551694,3115.874468496935,3117.166325057642,3121.346219861159,3127.4573317982945,3134.253991720362,3140.952685417729,3147.194460286171,3152.866301463044,3157.9695359741336
3100.334883481547,3100.150329009416,3101.496167171316,3105.734980230328,3111.887764507528,3118.705737575729,3125.4100838478616,3131.6474081355414,3137.3088782020304,3142.398486025606
3084.63202570486,3084.463512310768,3085.8625703852376,3090.159040532936,3096.3520994273435,3103.1901032106844,3109.8990307627914,3116.131047152178,3121.781469779556,3126.8569170072133
3068.9679476895253,3068.81532357065,3070.266849328965,3074.619734403539,3080.8516958989303,3087.7084762285203,3094.4209414166653,3100.646817943132,3106.2855392805104,3111.3463116425173
3053.3439044185325,3053.2070194478465,3054.7102699818606,3059.1183465357167,3065.387863888124,3072.2621943207005,3078.9771805658474,3085.196110026672,3090.8224981340813,3095.8681004717027
3037.761103787782,3037.6398094881883,3039.1940510722943,3043.656114084724,3049.9618653940656,3056.852546683977,3063.569063896444,3069.780263271448,3075.393707565077,3080.4236633150504
3022.2207079665504,3022.1148574851527,3023.719365439614,3028.23422803302,3034.574915820799,3041.480775400449,3048.197859414717,3054.400569298429,3060.0004800078887,3065.0143306988753
3006.7238347214434,3006.633282803973,3008.287341359712,3012.853834519464,3019.228185312571,3026.148076781336,3032.864788801154,3039.058272846393,3044.644080483841,3049.6413852446653
2991.271558704652,2991.1961616700823,2992.899063834979,2997.516036132974,3003.922800053645,3010.855602675236,3017.5710287289503,3023.7545731017053,3029.32572794268,3034.3060630221726
2975.86491270733,2975.8045284226937,2977.555575849483,2982.221893171461,2988.6598435334,2995.604461741648,3002.3177121476747,3008.490624993157,3014.046596568943,3019.009554867198
2960.5048888789083,2960.459376734341,2962.2578795901354,2966.972424866805,2973.4403577774897,2980.3957206905143,2987.105929532876,2993.2675404526017,2998.8078170539725,3003.75300766482
2945.1924399131385,2945.1616607971664,2947.0069376346723,2951.768610576677,2958.265344545851,2965.230405488573,2971.9367301023863,2978.086389642156,2983.610477834306,2988.537525598807
2929.9284802016687,2929.9122964767566,2931.8036741072137,2936.611390943972,2943.13576649831,2950.109502533247,2956.811123000074,2962.948202148701,2968.455626297197,2973.364171367963
2914.713886955928,2914.7121624343017,2916.648975802188,2921.5016690246266,2928.052548328563,2935.033959794844,2941.730078447795,2947.853968146433,2953.3442699540005,2958.2339673701363
2899.5495012981014,2899.562101217855,2901.543693277384,2906.4403113845765,2913.0165778672667,2920.0046879278107,2926.6945288662773,2932.804639528192,2938.27737758216,2943.147896854627
2884.436129321949,2884.462920323455,2886.48864191689,2891.4281491666047,2898.028707155,2905.022561351768,2911.705369965673,2917.801131006304,2923.255880336517,2928.1069050437222
2869.374543124228,2869.415393226856,2871.4846029646624,2876.4659791278227,2883.089753485808,2890.0884193030606,2896.7634618065026,2902.844321183656,2908.2806728306678,2913.1119002240725
2854.36548180746,2854.4202603866097,2856.532324529459,2861.554564648509,2868.200500422072,2875.203066857537,2881.869629831701,2887.935053595707,2893.352614189076,2898.163754808626
2839.409652454753,2839.478230219222,2841.632522561861,2846.694636713021,2853.3616987814,2860.36727592527,2867.0246658704723,2873.0741377241493,2878.4725290706447,2883.263306369819
2824.507731077424,2824.5899800471,2826.7858818040927,2831.886894863492,2838.5740675962484,2845.58178621791,2852.22932911465,2858.2623499829065,2863.641208664437,2868.4113586447193
2809.66036353609,2809.756157019988,2811.9930567133324,2817.132008126998,2823.838295046961,2830.847306189361,2837.4843470682395,2843.50043467715,2848.8594116582294,2853.608682512804
2794.868166435947,2794.977379010586,2797.254672359208,2802.4306159168805,2809.1550393689013,2816.164513950447,2822.79041647082,2828.7891049360105,2834.127865180575,2838.856016947048
2780.1317279968885,2780.25423548502,2782.571325296142,2787.783328908893,2794.5249297343425,2801.534058158243,2808.148204195466,2814.1290436196377,2819.447265717029,2824.154069938982
2765.45160889914,2765.587288348824,2767.943584411205,2773.190729892824,2779.9485671097714,2786.956558880703,2793.558348121837,2799.5209042012657,2804.8182800011937,2809.503519398379
2750.828343105055,2750.977072769093,2753.371991748129,2758.653374600242,2765.4265250892413,2772.432608437243,2779.021457985072,2784.965311624916,2790.2415458812197,2794.9050140282015
2736.262438657706,2736.424097973424,2738.857063308106,2744.1717925089906,2750.9593507044046,2757.9627722158866,2764.5381162011163,2770.4628631393634,2775.717673162389,2780.359174175446
2721.754378456891,2721.928848026285,2724.3992898279944,2729.74648762505,2736.5475652118384,2743.5475894676047,2750.1088786690893,2756.014129108989,2761.2472444264,2765.8665926585004
2707.304621013171,2707.491782583402,2709.99913753654,2715.37793924237,2722.191664858264,2729.1875740784303,2735.7342755513027,2741.6196538021045,2746.8308158279533,2751.42783557162
2692.9136011805213,2693.113337624772,2695.657048889196,2701.06660268126,2707.892121624252,2714.8832153199555,2721.4148120315067,2727.27995615735,2732.46891786923,2737.043443067115
2678.581730868188,2678.793926166876,2681.373443282136,2686.8129100059223,2693.649383946984,2700.634978578773,2707.15096905195,2712.9955305287463,2718.1620561528484,2722.713930115834
